ONS id,Constituency,County,Country/Region,Country,Electorate,,ConservativeVotes,ConservativeVote share,,LabourVotes ,LabourVote share,,LiberalVotes,LiberalVote share,,Total votes,Turnout ,
W07000049,ABERAVON,West Glamorgan,Wales,Wales,50.750,,6.518,21%,,17.008,54%,,1.072,3%,,31.598,62%,
W07000058,ABERCONWY,Clwyd,Wales,Wales,44.699,,14.687,46%,,12.653,40%,,1.821,6%,,31.865,71%,
S14000001,ABERDEEN NORTH,,Scotland,Scotland,62.489,,7.535,20%,,4.939,13%,,2.846,8%,,37.413,60%,
S14000002,ABERDEEN SOUTH,,Scotland,Scotland,65.719,,16.398,36%,,3.834,8%,,5.018,11%,,45.638,69%,
S14000003,AIRDRIE AND SHOTTS,,Scotland,Scotland,64.011,,7.011,18%,,12.728,32%,,1.419,4%,,39.772,62%,
E14000530,ALDERSHOT,Hampshire,South East,England,72.617,,27.980,58%,,11.282,24%,,6.920,14%,,47.932,66%,
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,60.138,,27.850,71%,,8.014,20%,,2.371,6%,,39.342,65%,
E14000532,ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,73.107,,26.311,48%,,20.172,37%,,6.036,11%,,54.763,75%,
W07000043,ALYN AND DEESIDE,Clwyd,Wales,Wales,62.789,,18.058,42%,,18.271,42%,,2.548,6%,,43.008,68%,
E14000533,AMBER VALLEY,Derbyshire,East Midlands,England,69.976,,29.096,64%,,12.210,27%,,2.873,6%,,45.567,65%,
S14000004,ANGUS,,Scotland,Scotland,63.952,,17.421,40%,,2.051,5%,,2.482,6%,,43.170,68%,
W07000057,ARFON,Gwynedd,Wales,Wales,42.215,,4.428,15%,,10.353,36%,,,,,29.074,69%,
S14000005,ARGYLL AND BUTE,,Scotland,Scotland,66.525,,16.930,35%,,3.248,7%,,6.832,14%,,48.050,72%,
E14000534,ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,81.726,,35.566,58%,,9.722,16%,,13.045,21%,,61.408,75%,
E14000535,ASHFIELD,Nottinghamshire,East Midlands,England,78.204,,19.231,39%,,11.971,24%,,1.105,2%,,48.980,63%,
E14000536,ASHFORD,Kent,South East,England,89.553,,37.270,62%,,13.241,22%,,6.048,10%,,60.059,67%,
E14000537,ASHTON-UNDER-LYNE,Greater Manchester,North West,England,67.978,,14.281,37%,,18.544,48%,,1.395,4%,,38.579,57%,
E14000538,AYLESBURY,Buckinghamshire,South East,England,86.665,,32.737,54%,,15.364,25%,,10.081,17%,,60.576,70%,
S14000006,"AYR, CARRICK AND CUMNOCK",,Scotland,Scotland,71.970,,17.943,39%,,6.219,13%,,2.158,5%,,46.592,65%,
E14000539,BANBURY,Oxfordshire,South East,England,90.116,,34.148,54%,,17.335,28%,,8.831,14%,,62.921,70%,
