,,Lower 95% CI (mean),Central Estimate (mean),Upper 95% CI (mean)
E12000001,North East,"27,100","27,400","27,700"
E14000554,Berwick-upon-Tweed,"22,200","23,900","25,600"
E14000569,Bishop Auckland,"25,100","26,600","28,100"
E14000574,Blaydon,"26,800","28,400","30,000"
E14000575,Blyth Valley,"24,100","25,400","26,600"
E14000641,City of Durham,"31,000","33,100","35,100"
E14000658,Darlington,"24,900","26,300","27,700"
E14000677,Easington,"25,000","26,700","28,400"
E14000709,Gateshead,"24,600","26,100","27,500"
E14000733,Hartlepool,"24,400","26,000","27,700"
E14000746,Hexham,"30,000","32,300","34,600"
E14000754,Houghton and Sunderland South,"24,700","26,100","27,600"
E14000765,Jarrow,"24,000","25,300","26,600"
E14000819,Middlesbrough,"23,000","24,500","26,000"
E14000820,Middlesbrough South and East Cleveland,"26,800","28,400","29,900"
E14000831,Newcastle upon Tyne Central,"24,600","26,400","28,100"
E14000832,Newcastle upon Tyne East,"25,300","26,900","28,600"
E14000833,Newcastle upon Tyne North,"28,300","29,900","31,600"
E14000840,North Durham,"25,000","26,500","28,100"
E14000853,North Tyneside,"25,800","27,200","28,700"
E14000856,North West Durham,"25,900","27,600","29,200"
E14000891,Redcar,"23,500","25,100","26,700"
E14000915,Sedgefield,"25,600","27,100","28,600"
E14000944,South Shields,"24,400","26,000","27,700"
E14000970,Stockton North,"25,800","28,600","31,300"
E14000971,Stockton South,"29,600","31,400","33,100"
E14000982,Sunderland Central,"24,600","26,000","27,400"
E14001006,Tynemouth,"27,900","29,600","31,300"
E14001014,Wansbeck,"25,800","27,600","29,400"
E14001020,Washington and Sunderland West,"24,700","26,100","27,500"
,,,,
E12000002,North West,"28,600","28,800","29,100"
,,,,
E14000532,Altrincham and Sale West,"41,600","45,200","48,800"
E14000537,Ashton-under-Lyne,"23,100","24,500","26,000"
E14000543,Barrow and Furness,"25,300","27,000","28,600"
E14000559,Birkenhead,"25,700","27,300","28,800"
E14000570,Blackburn,"22,800","24,000","25,300"
E14000571,Blackley and Broughton,"22,100","23,400","24,600"
E14000572,Blackpool North and Cleveleys,"22,000","23,200","24,400"
E14000573,Blackpool South,"21,800","23,200","24,500"
E14000578,Bolton North East,"24,200","25,500","26,900"
E14000579,Bolton South East,"22,600","23,800","25,000"
E14000580,Bolton West,"28,300","29,900","31,500"
E14000581,Bootle,"25,400","26,700","28,100"
E14000609,Burnley,"22,200","23,400","24,600"
E14000611,Bury North,"25,900","27,600","29,200"
E14000612,Bury South,"26,700","28,100","29,600"
E14000620,Carlisle,"24,600","26,000","27,400"
E14000627,Cheadle,"34,300","36,400","38,500"
E14000637,Chorley,"27,100","28,700","30,400"
E14000640,City of Chester,"31,900","33,900","36,000"
E14000646,Congleton,"34,400","36,900","39,400"
E14000647,Copeland,"30,600","32,600","34,500"
E14000653,Crewe and Nantwich,"28,100","29,600","31,100"
E14000661,Denton and Reddish,"24,400","25,700","26,900"
E14000686,Eddisbury,"30,300","32,300","34,300"
E14000688,Ellesmere Port and Neston,"27,900","29,600","31,200"
E14000706,Fylde,"27,000","28,800","30,600"
