Constituency,Total population,Classification,,Constituency_2
Aldershot Boro Const,101.317,Other_urban,,Aldershot
Aldridge-Brownhills Boro Const,73.873,Major_urban,,Aldridge-Brownhills
Altrincham and Sale West Boro Const,87.849,Major_urban,,Altrincham and Sale West
Amber Valley Co Const,84.159,Other_urban,,Amber Valley
Arundel and South Downs Co Const,89.468,Rural_75,,Arundel and South Downs
Ashfield Co Const,96.588,Other_urban,,Ashfield
Ashford Co Const,97.626,Sig_rural,,Ashford
Ashton-under-Lyne Boro Const,88.767,Major_urban,,Ashton-under-Lyne
Aylesbury Co Const,102.395,Other_urban,,Aylesbury
Banbury Co Const,108.435,Other_urban,,Banbury
Barking Boro Const,105.367,Major_urban,,Barking
Barnsley Central Boro Const,82.826,Other_urban,,Barnsley Central
Barnsley East Co Const,82.090,Other_urban,,Barnsley East
Barrow and Furness Co Const,91.691,Sig_rural,,Barrow and Furness
Basildon and Billericay Boro Const,84.272,Other_urban,,Basildon and Billericay
Basingstoke Boro Const,94.448,Other_urban,,Basingstoke
Bassetlaw Co Const,98.715,Rural_50,,Bassetlaw
Bath Boro Const,83.958,Other_urban,,Bath
Batley and Spen Boro Const,100.482,Major_urban,,Batley and Spen
Battersea Boro Const,87.564,Major_urban,,Battersea
Beaconsfield Co Const,93.473,Rural_50,,Beaconsfield
Beckenham Boro Const,81.630,Major_urban,,Beckenham
Bedford Boro Const,98.440,Other_urban,,Bedford
Bermondsey and Old Southwark Boro Const,108.014,Major_urban,,Bermondsey and Old Southwark
Berwick-upon-Tweed Co Const,70.637,Rural_75,,Berwick-upon-Tweed
Bethnal Green and Bow Boro Const,101.197,Major_urban,,Bethnal Green and Bow
Beverley and Holderness Co Const,95.292,Rural_75,,Beverley and Holderness
Bexhill and Battle Co Const,94.078,Rural_50,,Bexhill and Battle
Bexleyheath and Crayford Boro Const,83.461,Major_urban,,Bexleyheath and Crayford
Birkenhead Boro Const,84.036,Large_urban,,Birkenhead
"Birmingham, Edgbaston Boro Const",90.534,Major_urban,,"Birmingham, Edgbaston"
"Birmingham, Erdington Boro Const",90.426,Major_urban,,"Birmingham, Erdington"
"Birmingham, Hall Green Boro Const",109.808,Major_urban,,"Birmingham, Hall Green"
"Birmingham, Hodge Hill Boro Const",107.365,Major_urban,,"Birmingham, Hodge Hill"
"Birmingham, Ladywood Boro Const",93.475,Major_urban,,"Birmingham, Ladywood"
"Birmingham, Northfield Boro Const",97.566,Major_urban,,"Birmingham, Northfield"
"Birmingham, Perry Barr Boro Const",101.653,Major_urban,,"Birmingham, Perry Barr"
"Birmingham, Selly Oak Boro Const",96.180,Major_urban,,"Birmingham, Selly Oak"
"Birmingham, Yardley Boro Const",100.874,Major_urban,,"Birmingham, Yardley"
Bishop Auckland Co Const,84.455,Rural_75,,Bishop Auckland
